State,Oxygen Produced (Tonnes)
Andaman and Nicobar Islands,0
Andhra Pradesh,400
Arunachal Pradesh,0
Assam,5
Bihar,150
Chandigarh,0
Chhattisgarh,400
Dadra and Nagar Haveli and Daman and Diu,0
Delhi,0
Goa,0
Gujarat,0
Haryana,280
Himachal Pradesh,50
Jammu & Kashmir,30
Jharkhand,530
Karnataka,820
Kerala,205
Ladakh,0
Lakshadweep,0
Madhya Pradesh,0
Maharashtra,1250
Manipur,80
Meghalaya,5
Mizoram,0
Nagaland,0
Odisha,500
Puducherry,0
Punjab,120
Rajasthan,280
Sikkim,0
Tamil Nadu,400
Telangana,100
Tripura,0
Uttar Pradesh,1000
Uttarakhand,25
West Bengal,470
